root,source,direct_files,recursive_files,direct_bytes,proposed,status,reason
Garçons (Gelbooru),all_fours,2,2,383770,Sexual themes/Penetration/all_fours,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru),anal_beads,28,28,6729362,Sexual themes/Penetration/anal_beads,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru),anal_fingering,1,1,123594,Sexual themes/Penetration/anal_fingering,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru),anal_fisting,3,3,740044,Sexual themes/Penetration/anal_fisting,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru),anal_object_insertion,57,57,15283239,Sexual themes/Penetration/anal_object_insertion,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru),anal_tail,1,1,84940,Sexual themes/Penetration/anal_tail,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru),androgynous,17,17,2822781,androgynous,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),Animal ears,0,46,0,Animal ears,keep,déjà sous une famille structurée
Garçons (Gelbooru),Animal ears/animal_ears,22,22,6762684,Animal ears/animal_ears,keep,déjà sous une famille structurée
Garçons (Gelbooru),Animal ears/animal_ears cat_ears,5,5,708587,Animal ears/animal_ears cat_ears,keep,déjà sous une famille structurée
Garçons (Gelbooru),Animal ears/animal_ears dog_ears,4,4,998284,Animal ears/animal_ears dog_ears,keep,déjà sous une famille structurée
Garçons (Gelbooru),Animal ears/animal_ears fake_animal_ears,5,5,1099419,Animal ears/animal_ears fake_animal_ears,keep,déjà sous une famille structurée
Garçons (Gelbooru),Animal ears/animal_ears rabbit_ears,1,1,268106,Animal ears/animal_ears rabbit_ears,keep,déjà sous une famille structurée
Garçons (Gelbooru),Animal ears/animal_ears rabbit_ears fake_animal_ears,3,3,267348,Animal ears/animal_ears rabbit_ears fake_animal_ears,keep,déjà sous une famille structurée
Garçons (Gelbooru),Animal ears/animal_ears wolf_ears,1,1,344194,Animal ears/animal_ears wolf_ears,keep,déjà sous une famille structurée
Garçons (Gelbooru),Animal ears/fake_animal_ears,5,5,1420110,Animal ears/fake_animal_ears,keep,déjà sous une famille structurée
Garçons (Gelbooru),barbarian,1,1,311696,barbarian,review,aucune correspondance sûre dans les familles actuelles
