theme	mode	tag	post_count	already_in_garcons
01_presentation	direct	male_focus	1128991	no
01_presentation	direct	trap	97800	yes
01_presentation	direct	otoko_no_ko	90031	no
01_presentation	direct	crossdressing	72091	yes
01_presentation	direct	androgynous	70164	yes
01_presentation	direct	male_maid	8654	no
02_apparence_et_pilosite	direct	dark-skinned_male	185305	yes
02_apparence_et_pilosite	direct	muscular_male	139708	no
02_apparence_et_pilosite	direct	topless_male	63302	no
02_apparence_et_pilosite	direct	male_pubic_hair	70689	no
02_apparence_et_pilosite	mixed	facial_hair	167939	no
02_apparence_et_pilosite	mixed	beard	67705	no
02_apparence_et_pilosite	mixed	mustache	39718	no
02_apparence_et_pilosite	mixed	body_hair	6694	no
02_apparence_et_pilosite	mixed	chest_hair	13032	no
02_apparence_et_pilosite	mixed	leg_hair	6481	no
02_apparence_et_pilosite	mixed	armpit_hair	15458	no
03_vetements_masculins	direct	male_underwear	25769	no
03_vetements_masculins	direct	male_swimwear	14575	no
03_vetements_masculins	mixed	fundoshi	15692	no
03_vetements_masculins	mixed	swim_trunks	7387	no
03_vetements_masculins	mixed	briefs	5627	no
03_vetements_masculins	mixed	boxers	4674	yes
03_vetements_masculins	mixed	jockstrap	1955	no
03_vetements_masculins	mixed	loincloth	11525	no
04_anatomie_et_exposition	direct	male_masturbation	10051	no
04_anatomie_et_exposition	direct	erection_under_clothes	22642	yes
04_anatomie_et_exposition	direct	penis_peek	2719	no
04_anatomie_et_exposition	direct	testicle_peek	1277	no
04_anatomie_et_exposition	direct	penis_focus	303	no
04_anatomie_et_exposition	direct	looking_at_penis	33414	no
05_objets_et_chastete	direct	chastity_cage	2940	yes
05_objets_et_chastete	direct	flat_chastity_cage	967	yes
05_objets_et_chastete	direct	small_chastity_cage	1201	no
05_objets_et_chastete	direct	tube_chastity_cage	320	no
05_objets_et_chastete	direct	padlocked_chastity_cage	236	no
05_objets_et_chastete	direct	revealing_chastity_cage	209	no
05_objets_et_chastete	direct	nub_chastity_cage	187	no
05_objets_et_chastete	direct	cock_ring	2077	no
05_objets_et_chastete	direct	penis_ring	1019	no
05_objets_et_chastete	direct	penis_sheath	417	no
05_objets_et_chastete	direct	prostate_massager	382	no
06_stimulation_et_pratiques	direct	urethral_insertion	4025	no
06_stimulation_et_pratiques	direct	sounding	686	no
06_stimulation_et_pratiques	direct	cock_and_ball_torture	1669	no
06_stimulation_et_pratiques	direct	small_penis_humiliation	1631	no
06_stimulation_et_pratiques	direct	prostate_milking	1675	no
06_stimulation_et_pratiques	direct	prostate_massage	76	no
06_stimulation_et_pratiques	direct	prostate_orgasm	82	no
06_stimulation_et_pratiques	mixed	pegging	2962	yes
06_stimulation_et_pratiques	mixed	caressing_testicles	6431	no
06_stimulation_et_pratiques	mixed	fondling_testicles	5485	no
06_stimulation_et_pratiques	mixed	testicle_sucking	3536	no
06_stimulation_et_pratiques	mixed	sucking_testicles	265	no
06_stimulation_et_pratiques	mixed	licking_testicle	1537	no
07_soumission_et_scenarios	mixed	femdom	45404	yes
07_soumission_et_scenarios	mixed	humiliation	11641	yes
07_soumission_et_scenarios	mixed	public_use	3799	yes
07_soumission_et_scenarios	mixed	slave	46809	yes
07_soumission_et_scenarios	mixed	restrained	110363	yes
07_soumission_et_scenarios	mixed	gagged	36669	yes
07_soumission_et_scenarios	mixed	pet_play	9425	yes
07_soumission_et_scenarios	mixed	spanking	7798	yes
07_soumission_et_scenarios	mixed	leash	55603	yes
07_soumission_et_scenarios	mixed	body_writing	23044	yes
08_homo_et_bisexuel	direct	yaoi	178248	yes
08_homo_et_bisexuel	direct	bara	95895	no
08_homo_et_bisexuel	direct	bisexual_(male)	611	no
08_homo_et_bisexuel	direct	josou_seme	1618	no
09_tenues_feminines_mixtes	mixed	maid	221783	yes
09_tenues_feminines_mixtes	mixed	high_heels	326069	yes
09_tenues_feminines_mixtes	mixed	lingerie	91283	yes
09_tenues_feminines_mixtes	mixed	panties	1038316	yes
09_tenues_feminines_mixtes	mixed	dress	1945458	no
09_tenues_feminines_mixtes	mixed	skirt	2185430	yes
