tag	post_count	already_in_garcons	reason
male_focus	1128991	no	centrage explicite sur un personnage masculin
yaoi	178248	yes	relation homme-homme sur Gelbooru
trap	97800	yes	branche historique de la galerie Garçons
otoko_no_ko	90031	no	présentation masculine féminine canonique
crossdressing	72091	yes	fort potentiel pour la présentation recherchée
androgynous	70164	yes	fort potentiel de personnage masculin androgyne
erection_under_clothes	22642	yes	état anatomiquement masculin
male_masturbation	10051	no	action explicitement masculine
male_maid	8654	no	rôle et tenue explicitement masculins
urethral_insertion	4025	no	pratique à fort potentiel masculin
chastity_cage	2940	yes	objet porté sur l'anatomie masculine
penis_peek	2719	no	exposition masculine
cock_ring	2077	no	accessoire anatomiquement masculin
cock_and_ball_torture	1669	no	pratique anatomiquement masculine
small_penis_humiliation	1631	no	humiliation explicitement masculine
testicle_peek	1277	no	exposition masculine
small_chastity_cage	1201	no	variante de cage de chasteté
penis_ring	1019	no	accessoire anatomiquement masculin
flat_chastity_cage	967	yes	variante de cage de chasteté
sounding	686	no	pratique urétrale masculine dans ce contexte
penis_sheath	417	no	accessoire anatomiquement masculin
prostate_massager	382	no	objet à fort potentiel masculin
tube_chastity_cage	320	no	variante de cage de chasteté
padlocked_chastity_cage	236	no	variante de cage de chasteté
revealing_chastity_cage	209	no	variante de cage de chasteté
nub_chastity_cage	187	no	variante de cage de chasteté
