tag	post_count	already_in_garcons	reason
skirt	2185430	yes	vêtement mixte dans la base
dress	1945458	no	vêtement mixte dans la base
panties	1038316	yes	vêtement mixte dans la base
collar	333711	yes	accessoire mixte et non automatiquement BDSM
high_heels	326069	yes	vêtement mixte dans la base
maid	221783	yes	tenue ou rôle mixte
restrained	110363	yes	thème mixte
lingerie	91283	yes	vêtement mixte dans la base
leash	55603	yes	accessoire ou pratique mixte
slave	46809	yes	rôle mixte
femdom	45404	yes	exiger la présence d'un garçon sans exclure les filles
gagged	36669	yes	thème mixte
body_writing	23044	yes	thème mixte
humiliation	11641	yes	thème mixte
pet_play	9425	yes	thème mixte
spanking	7798	yes	thème mixte
caressing_testicles	6431	no	l'action peut être centrée sur l'autre personnage
fondling_testicles	5485	no	l'action peut être centrée sur l'autre personnage
public_use	3799	yes	thème mixte
testicle_sucking	3536	no	l'action peut être centrée sur l'autre personnage
pegging	2962	yes	exiger la présence d'un garçon
licking_testicle	1537	no	l'action peut être centrée sur l'autre personnage
sucking_testicles	265	no	l'action peut être centrée sur l'autre personnage
