fichier;mode;site_detecte;tag;regle_blacklist
D:\tags\Ts\others\after_anal\d_\p_\explicit\a_small_breasts\misc\n_1girl\ginger_(cpt.tester)\cpt.tester_works - 6674454 - explicit - 43c1d9edb04e6512509a13fd9afe1b35.jpg;filename;inconnu;cpt.tester_works;cpt.tester_works
D:\tags\Ts\others\after_anal\d_smile_\p_\explicit\a_\pokemon\n_1girl\gloria_(pokemon) hop_(pokemon)\habatakuhituji - 5532757 - explicit - e0afbf94975700696fc3422d841db550.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\after_anal\d_smile_\p_yuri-prob\explicit\a_\pokemon\n_2girls\gloria_(pokemon) marnie_(pokemon)\habatakuhituji - 5532767 - explicit - b968d85ffaaefef9e3110614e5f9faaa.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\caught\d_\p_hetero\explicit\a_\pokemon\n_1boy 1girl\viola_(pokemon) vivillon vivillon_(meadow) youngster_(pokemon)\habatakuhituji - 2361727 - explicit - c1e77d4354ba0b89c45bb1f30d7d7bea.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\double_handjob\d_\p_hetero\explicit\a_\original\n_4boys 1girl\hanawa_yuki\habatakuhituji - 1508576 - explicit - f65b6b609f203eebc28136a5c4e447df.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\double_handjob\d_\p_yuri-prob\explicit\a_\pokemon\n_2girls\allister_(pokemon) gloria_(pokemon) marnie_(pokemon)\habatakuhituji - 5532796 - explicit - 1fe0430e7e074815ec03fc3166b7d58a.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\double_handjob\d_smile_\p_hetero\explicit\a_\pokemon\n_3boys 1girl\cynthia_(pokemon)\habatakuhituji - 1121206 - explicit - 3df516d15e7cf23a83eed9394d981d0e.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\double_penetration\d_\p_\explicit\a_\misc\n_1girl\hashiba_renko\habatakuhituji - 1935880 - explicit - 8b73d55caad49f4c632a1f65c7d7c0f7.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\double_penetration\d_\p_\explicit\a_\misc\n_1girl\unknown\cpt.tester_works - 6674034 - explicit - 96979cc31048b46d8ea91cb13a721f11.jpg;filename;inconnu;cpt.tester_works;cpt.tester_works
D:\tags\Ts\others\double_penetration\d_\p_\explicit\a_\pokemon\n_1girl\arbok jessie_(pokemon) meowth weezing\habatakuhituji - 1104609 - explicit - 403571b9d95f6014519e760e3ac4daa4.jpg;filename;inconnu;habatakuhituji;habatakuhituji
